dataset,model,p_value_raw,p_value_bonferroni,significant
Collegiate Athlete,efficient-kan,0.5461360207340227,1.0,False
Collegiate Athlete,ChebyKAN,0.36334262274624407,1.0,False
Collegiate Athlete,FastKAN,0.04571008674151619,0.9142017348303239,False
Collegiate Athlete,WavKAN,0.1940565911395728,1.0,False
Collegiate Athlete,FourierKAN,1.6797633176067035e-11,3.3595266352134067e-10,True
Injury Data,efficient-kan,0.06068276146795688,1.0,False
Injury Data,ChebyKAN,0.062336431944403685,1.0,False
Injury Data,FastKAN,0.6012604101886537,1.0,False
Injury Data,WavKAN,0.6114953741311538,1.0,False
Injury Data,FourierKAN,0.7359620441753829,1.0,False
Day Timeseries,efficient-kan,7.426745235682538e-16,1.4853490471365075e-14,True
Day Timeseries,ChebyKAN,0.47804156582169266,1.0,False
Day Timeseries,FastKAN,1.9805771287610597e-17,3.9611542575221196e-16,True
Day Timeseries,WavKAN,6.285113363958078e-14,1.2570226727916155e-12,True
Day Timeseries,FourierKAN,1.3199997860730737e-21,2.6399995721461476e-20,True
Multimodal Sports,efficient-kan,1.8292750213219126e-28,3.6585500426438254e-27,True
Multimodal Sports,ChebyKAN,8.564101190410019e-23,1.712820238082004e-21,True
Multimodal Sports,FastKAN,2.3090541908793287e-23,4.618108381758657e-22,True
Multimodal Sports,WavKAN,1.1012951183344277e-25,2.2025902366688553e-24,True
Multimodal Sports,FourierKAN,2.4988412968592328e-21,4.9976825937184656e-20,True
