dataset,model,p_value_raw,p_value_bonferroni,significant
Collegiate Athlete,efficient-kan,9.869845071299593e-09,1.9739690142599186e-07,True
Collegiate Athlete,ChebyKAN,1.6693477827554716e-08,3.3386955655109434e-07,True
Collegiate Athlete,FastKAN,5.6827699456830396e-08,1.136553989136608e-06,True
Collegiate Athlete,WavKAN,4.263965293307612e-09,8.527930586615225e-08,True
Collegiate Athlete,FourierKAN,1.672991820574723e-14,3.345983641149446e-13,True
Injury Data,efficient-kan,0.05918466045448984,1.0,False
Injury Data,ChebyKAN,0.08253736059489411,1.0,False
Injury Data,FastKAN,0.5544946235077306,1.0,False
Injury Data,WavKAN,0.4471742384567622,1.0,False
Injury Data,FourierKAN,0.7388234173837294,1.0,False
Day Timeseries,efficient-kan,9.569942532590822e-22,1.9139885065181644e-20,True
Day Timeseries,ChebyKAN,0.0006546079449258219,0.013092158898516438,True
Day Timeseries,FastKAN,0.16518599645833038,1.0,False
Day Timeseries,WavKAN,1.3381655213985344e-18,2.676331042797069e-17,True
Day Timeseries,FourierKAN,,,False
Multimodal Sports,efficient-kan,4.238720681070306e-31,8.477441362140612e-30,True
Multimodal Sports,ChebyKAN,7.058476760896331e-26,1.4116953521792662e-24,True
Multimodal Sports,FastKAN,1.1247291012636239e-24,2.2494582025272477e-23,True
Multimodal Sports,WavKAN,1.970870609656942e-28,3.941741219313884e-27,True
Multimodal Sports,FourierKAN,6.993505270901973e-26,1.3987010541803947e-24,True
