dataset,model,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,f1_mean,f1_std,auc_roc_mean,auc_roc_std
Collegiate Athlete,MLP,0.9399999999999998,0.025495097567963896,0.9304799741108756,0.9495200258891241,0.5120634920634921,0.2534530488508302,0.9660660660660659,0.03195200839932696
Collegiate Athlete,efficient-kan,0.9366666666666666,0.025603819159562006,0.9271060434680416,0.9462272898652917,0.4557936507936508,0.2956012125238207,0.9621621621621621,0.025417542305704303
Collegiate Athlete,ChebyKAN,0.9350000000000002,0.015275252316519428,0.9292961270444834,0.9407038729555169,0.21,0.26248809496813374,0.8738738738738739,0.09948056528466172
Collegiate Athlete,FastKAN,0.9283333333333331,0.035197853469904776,0.9151902388469583,0.941476427819708,0.4204761904761905,0.28120287461073795,0.8966966966966967,0.1017056425741715
Collegiate Athlete,WavKAN,0.9324999999999999,0.018427786989579954,0.9256189512512196,0.9393810487487801,0.2211111111111111,0.2776199551656416,0.8519519519519521,0.14098803273016072
Collegiate Athlete,FourierKAN,0.8725000000000002,0.0261007662722764,0.8627538136998433,0.882246186300157,0.038597883597883596,0.10145959303478637,0.49369369369369376,0.19049172661488356
Collegiate Athlete,XGBoost,0.9716666666666668,0.02303379160180876,0.9630657075297442,0.9802676258035894,0.786904761904762,0.21558140025534303,0.955855855855856,0.06662404286300658
Injury Data,MLP,0.5041666666666668,0.031782682216718115,0.4922988180843117,0.5160345152490219,0.5010446885030204,0.03539886787013833,0.5198633333333333,0.03521216156702429
Injury Data,efficient-kan,0.5199999999999999,0.04179314138308661,0.5043941845331564,0.5356058154668434,0.5197095506756162,0.04541600450931455,0.5340600000000001,0.04606162972945416
Injury Data,ChebyKAN,0.5188333333333334,0.032804555916654154,0.5065839108404304,0.5310827558262363,0.5118269848223956,0.04055508885955982,0.53022,0.0310060144703142
Injury Data,FastKAN,0.5078333333333334,0.035582845429910304,0.49454648048648997,0.5211201861801767,0.4494142734224806,0.14444437560280043,0.506795,0.040638205238420655
Injury Data,WavKAN,0.508,0.03285320887422313,0.4957324101941694,0.5202675898058305,0.5043341496859767,0.035866588715061216,0.51949,0.03293525314917132
Injury Data,FourierKAN,0.5063333333333333,0.03016436455304319,0.49506977449781847,0.5175968921688481,0.5071686615280678,0.033367847179633744,0.5052299999999998,0.041146284967985454
Injury Data,XGBoost,0.5035000000000001,0.0303630806517828,0.49216223935374326,0.5148377606462569,0.5093163204191246,0.03692949053761539,0.5005133333333334,0.040219114305956025
Day Timeseries,MLP,0.9841126958148231,0.00045911330263709885,0.9839412600901511,0.984284131539495,0.011608231723178937,0.011535405630841163,0.5169222732456109,0.025265974888029032
Day Timeseries,efficient-kan,0.9803912399657083,0.001218251009117825,0.979936337562792,0.9808461423686247,0.018498773694710965,0.012743992733896412,0.5295738449584604,0.02696029652839454
Day Timeseries,ChebyKAN,0.9836022133894474,0.0038366408870347973,0.9821695881376916,0.9850348386412032,0.00854416027857492,0.013947557690139036,0.56414524680496,0.06206062218679385
Day Timeseries,FastKAN,0.9862403553892913,0.000309520745730039,0.9861247784433818,0.9863559323352009,0.0005089058524173028,0.0027405418865824446,0.5534295078623631,0.05371122828441418
Day Timeseries,WavKAN,0.9791598472449536,0.0019140292082102718,0.9784451369926737,0.9798745574972336,0.016919232749761762,0.012341683748375114,0.47380315372492693,0.027340416781097908
Day Timeseries,FourierKAN,0.9863221884498478,2.220446049250313e-16,0.9863221884498476,0.9863221884498479,0.0,0.0,0.5244225594290783,0.027291634683065384
Day Timeseries,XGBoost,0.9863221884498478,2.220446049250313e-16,0.9863221884498476,0.9863221884498479,0.0,0.0,0.6332097088290047,0.017741573254070088
Multimodal Sports,MLP,0.6715629053177691,0.006773912955007512,0.669033484650504,0.6740923259850341,0.4356092662193479,0.012915184661233502,0.6340760289164545,0.009241693734844271
Multimodal Sports,efficient-kan,0.5794422827496759,0.00849067366125935,0.5762718130993513,0.5826127524000005,0.41925443592424066,0.011770808233525932,0.5633068783068783,0.009667647206974281
Multimodal Sports,ChebyKAN,0.5995676610462602,0.010930760881311024,0.5954860478537434,0.6036492742387771,0.42230878511867204,0.01438862038158478,0.5768058407952025,0.01073083263989796
Multimodal Sports,FastKAN,0.6098681366191094,0.011491624083264096,0.6055770936651015,0.6141591795731174,0.41776090482322914,0.014931520725940301,0.5828323536302259,0.014317986282061079
Multimodal Sports,WavKAN,0.6050799827064419,0.007034614471230513,0.6024532144931571,0.6077067509197267,0.40964108553202966,0.01087452099146558,0.5783850872148744,0.010594089423033186
Multimodal Sports,FourierKAN,0.639267185473411,0.0009313493266112264,0.6389194139193889,0.6396149570274331,0.0050565490056055555,0.003367437193410419,0.5039510330999692,0.010084660174895734
Multimodal Sports,XGBoost,0.6832684824902723,0.006388384101698947,0.68088302066273,0.6856539443178146,0.42021745107927855,0.013864088047975115,0.6481136303476729,0.009950144787749299
